cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
1,please answer either yes following questions,"Please answer either ""Yes"" or ""No"" to each of the following questions. [. Are you able to get help from either family, friends, or neighbors in time of need?]","Q20[03][F].Please answer either ""Yes"" or ""No"" to each of the following questions. [3. Are you able to get help from either family, friends, or neighbors in time of need?]",Yes,No,,,,,,,,
2,,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],Q15[02][F].Please rate your satisfaction with each of the following parks and recreation items. [02. Number of city parks],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
3,,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]","Q15[11][M].Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
4,,Please rate your satisfaction with each of the following maintenance items. [. Overall maintenance of city streets],Q5[01][F].Please rate your satisfaction with each of the following maintenance items. [01. Overall maintenance of city streets],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
5,,Which of the following best describes your race/ethnicity? [Other],Q26[99][M].Which of the following best describes your race/ethnicity? [Other],No,Yes,,,,,,,,
6,,"Please define ""Other.""","Q5x14[T].Please define ""Other.""",Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
7,,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],Q27[10][M].Please CHECK ALL of the following types of retail and restaurant options you would like to see in Johnston. [Other],No,Yes,,,,,,,,
8,,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],Q5[14][F].Please indicate the extent to which you think each of the following are an issue in the City of Dallas by circling the corresponding number below. [14. Other],Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
9,,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],Q8[02][F].Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20. 311/Service request process (call to report problem),11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",01. Ambulance/emergency medical services,"19. Social services (community centers, child care programs, homeless programs, senior programs)",06. Fire services,17. Dallas Love Field Airport,"07. Solid waste services (e.g., garbage and recycling collection)",10. Park and recreation system
10,perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall feeling of safety in the City],Q3[05][F].Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of Riviera Beach. [5. Overall feeling of safety in the City],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
11,public safety,Public Safety. Please rate your satisfaction with each of the public safety services listed. [. How quickly police respond to emergencies],Q4[06][F].Public Safety. Please rate your satisfaction with each of the public safety services listed. [6. How quickly police respond to emergencies],Neutral,Satisfied,Don't Know,Very Satisfied,Dissatisfied,Very Dissatisfied,,,,
12,please answer either yes following questions,"Please answer either ""Yes"" or ""No"" to each of the following questions. [. Have any of your household members visited downtown [city name] during the past year?]","Q23[02][F].Please answer either ""Yes"" or ""No"" to each of the following questions. [02. Have any of your household members visited downtown Olathe during the past year?]",Yes,No,,,,,,,,
13,maintenance,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],Q8[01][F].Maintenance. Please rate your satisfaction with the following services provided by the City of Riviera Beach. [01. Condition of major City streets],Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
14,,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]","Q13[14][F].When you think about the number and variety of places to live, work and play in Riviera Beach, would you like to see more, about the same, or fewer of the following types of places in Riviera Beach? [14. Retail and shopping plazas]",See about the same,See fewer,See more,Don't know,,,,,,
15,parks recreation,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],Q11[07][F].Parks and Recreation. Please rate the City's performance in the following areas. [07. Appearance/maintenance of parks],Good,Fair,Excellent,Poor,Don't Know,,,,,
16,,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of car travel in [city name]],Q2[11][F].Please rate each of the following characteristics as they relate to Dallas as a whole. [11. Ease of car travel in Dallas],Excellent,Poor,Fair,Good,Don't Know,,,,,
17,,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],Q8[04][F].Please rate your satisfaction with each of the following items concerning your trash service. [4. City efforts to keep you informed about trash removal issues],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
18,,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],Q17[01][F].Please rate how safe you feel in the following situations. [1. In your neighborhood during the day],Safe,Very Safe,Neutral,Don't Know,Unsafe,Very Unsafe,,,,
19,,Please rate your satisfaction with each of the services listed. [. Overall quality and maintenance of City parks],Q2[14][F].Please rate your satisfaction with each of the services listed. [14. Overall quality and maintenance of City parks],Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
20,,How do you receive information about the city's budget and how money is spent? [Other],Q34[06][M].How do you receive information about the city's budget and how money is spent? [Other],No,Yes,,,,,,,,
21,major categories city services,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],Q7[04][M].Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [04. Customer service provided by city employees],Yes,No,,,,,,,,
22,,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],Q1[05][F].Please rate each of the following major categories of services provided by the City of Overland Park. [05. Overall quality of customer service you receive from City employees],Neutral,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
23,,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]","Q16[01][K].If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",30.0,50.0,75.0,20.0,25.0,45.0,10.0,100.0,35.0,0.0
24,,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]","Q20a[10][M].Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",Yes,No,,,,,,,,
25,,"Counting yourself, how many people in your household are… [Ages 65-74:]","Q42[10][K].Counting yourself, how many people in your household are… [Ages 65-74:]",2.0,0.0,1.0,74.0,67.0,,,,,
26,,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]","Q29[10][K].Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",1.0,2.0,0.0,26.0,,,,,,
27,,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. Overall quality of local police protection],Q21[06][F].Please rate your satisfaction with the following public safety services provided by the City of Olathe. [06. Overall quality of local police protection],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
28,city aware shortage housing nationwide locally,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],Q19[05][M].The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in Overland Park will help meet the needs of future generations in our community. Do you support the City facilitating more housing in Overland Park through... [Fourplexes],Yes,No,,,,,,,,
29,,Please rate the City of [city name] with regard to the following. [. As a place to live],Q18[01][F].Please rate the City of Overland Park with regard to the following. [1. As a place to live],Good,Excellent,Neutral,Poor,Below Average,,,,,
30,,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],Q8[04][F].Please rate your satisfaction with each of the following code enforcement items. [4. Enforcing the maintenance of commercial property in your neighborhood],Very Dissatisfied,Don't Know,Neutral,Satisfied,Very Satisfied,Dissatisfied,,,,
31,,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],Q7[04][F].Please rate your satisfaction with each of the following water services. [4. Clarity of your tap water],Satisfied,Very Satisfied,Neutral,Dissatisfied,Don't Know,Very Dissatisfied,,,,
32,,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],Q26[03][M].Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],No,Yes,,,,,,,,
33,perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],Q3[04][F].Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of Riviera Beach. [4. Overall quality of life in the City],Dissatisfied,Very Satisfied,Neutral,Satisfied,Very Dissatisfied,Don't Know,,,,
34,city growth,City Growth. Please rate your satisfaction with each of the following items. [. Rate of growth in [city name]],Q17[01][F].City Growth. Please rate your satisfaction with each of the following items. [1. Rate of growth in Johnston],Dissatisfied,Satisfied,Neutral,Very Satisfied,Very Dissatisfied,Don't Know,,,,
35,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]","Q10[15][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [15. Other]",Yes,No,,,,,,,,
