question_number,question_head_prompt,question_body_prompt,question_tail_prompt,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
Q1[01][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,01. city_name as a place to live,nan:nan,3.0:Good,2.0:Fair,4.0:Excellent,1.0:Poor,9.0:Don't Know,,,,
Q1[02][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,02. Your neighborhood as a place to live,nan:nan,3.0:Good,4.0:Excellent,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q1[03][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,03. city_name as a place to raise children,nan:nan,3.0:Good,4.0:Excellent,9.0:Don't Know,1.0:Poor,2.0:Fair,,,,
Q1[04][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,04. city_name as a place to work,nan:nan,4.0:Excellent,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,,,,
Q1[05][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,05. city_name as a place to retire,nan:nan,2.0:Fair,1.0:Poor,4.0:Excellent,9.0:Don't Know,3.0:Good,,,,
Q1[06][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,06. city_name as a place to do business,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,9.0:Don't Know,1.0:Poor,,,,
Q1[07][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,07. city_name as a place where I feel welcome,nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q1[08][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,08. The quality of economic development in city_name,nan:nan,3.0:Good,2.0:Fair,1.0:Poor,4.0:Excellent,9.0:Don't Know,,,,
Q1[09][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,09. The overall quality of life in city_name,nan:nan,2.0:Fair,3.0:Good,1.0:Poor,4.0:Excellent,9.0:Don't Know,,,,
Q1[10][F],Perceptions of the City,Please rate the following items by circling the corresponding number below,10. The overall value you receive for your City property tax dollars and fees,nan:nan,3.0:Good,1.0:Poor,2.0:Fair,4.0:Excellent,9.0:Don't Know,,,,
Q2[01][F],,Please rate each of the following characteristics as they relate to city_name as a whole,01. Sense of community,nan:nan,2.0:Fair,4.0:Excellent,3.0:Good,1.0:Poor,9.0:Don't Know,,,,
Q2[02][F],,Please rate each of the following characteristics as they relate to city_name as a whole,02. Openness and acceptance of the community towards people of diverse backgrounds,nan:nan,2.0:Fair,4.0:Excellent,3.0:Good,1.0:Poor,9.0:Don't Know,,,,
Q2[03][F],,Please rate each of the following characteristics as they relate to city_name as a whole,03. Opportunities to attend arts and cultural events,nan:nan,3.0:Good,4.0:Excellent,1.0:Poor,2.0:Fair,9.0:Don't Know,,,,
Q2[04][F],,Please rate each of the following characteristics as they relate to city_name as a whole,04. Air quality,nan:nan,2.0:Fair,3.0:Good,4.0:Excellent,1.0:Poor,9.0:Don't Know,,,,
Q2[05][F],,Please rate each of the following characteristics as they relate to city_name as a whole,"05. Access to affordable, quality housing",nan:nan,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,4.0:Excellent,,,,
Q2[06][F],,Please rate each of the following characteristics as they relate to city_name as a whole,"06. Access to affordable, quality child care",nan:nan,2.0:Fair,1.0:Poor,9.0:Don't Know,3.0:Good,4.0:Excellent,,,,
Q2[07][F],,Please rate each of the following characteristics as they relate to city_name as a whole,"07. Access to affordable, quality health care",nan:nan,4.0:Excellent,3.0:Good,2.0:Fair,1.0:Poor,9.0:Don't Know,,,,
Q2[08][F],,Please rate each of the following characteristics as they relate to city_name as a whole,"08. Access to affordable, quality food",nan:nan,4.0:Excellent,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,,,,
Q2[09][F],,Please rate each of the following characteristics as they relate to city_name as a whole,09. Access to living-wage jobs,nan:nan,3.0:Good,1.0:Poor,2.0:Fair,9.0:Don't Know,4.0:Excellent,,,,
Q2[10][F],,Please rate each of the following characteristics as they relate to city_name as a whole,10. Access to quality education,nan:nan,2.0:Fair,1.0:Poor,4.0:Excellent,3.0:Good,9.0:Don't Know,,,,
Q2[11][F],,Please rate each of the following characteristics as they relate to city_name as a whole,11. Ease of car travel in city_name,nan:nan,4.0:Excellent,1.0:Poor,2.0:Fair,3.0:Good,9.0:Don't Know,,,,
Q2[12][F],,Please rate each of the following characteristics as they relate to city_name as a whole,12. Ease of bus travel in city_name,nan:nan,9.0:Don't Know,2.0:Fair,1.0:Poor,3.0:Good,4.0:Excellent,,,,
Q2[13][F],,Please rate each of the following characteristics as they relate to city_name as a whole,13. Ease of rail travel in city_name,nan:nan,1.0:Poor,9.0:Don't Know,2.0:Fair,3.0:Good,4.0:Excellent,,,,
Q2[14][F],,Please rate each of the following characteristics as they relate to city_name as a whole,14. Ease of air travel in city_name,nan:nan,4.0:Excellent,2.0:Fair,3.0:Good,9.0:Don't Know,1.0:Poor,,,,
Q2[15][F],,Please rate each of the following characteristics as they relate to city_name as a whole,15. Ease of bicycle travel in city_name,nan:nan,1.0:Poor,4.0:Excellent,3.0:Good,9.0:Don't Know,2.0:Fair,,,,
Q2[16][F],,Please rate each of the following characteristics as they relate to city_name as a whole,16. Ease of walking in city_name,nan:nan,1.0:Poor,2.0:Fair,3.0:Good,9.0:Don't Know,4.0:Excellent,,,,
Q2[17][F],,Please rate each of the following characteristics as they relate to city_name as a whole,17. Overall image/reputation of city_name,nan:nan,3.0:Good,2.0:Fair,1.0:Poor,4.0:Excellent,9.0:Don't Know,,,,
Q3[01][F],,Which THREE of the quality of life characteristics listed above do you think should be the City's top priorities,1st:,nan:nan,17.0:17. Overall image/reputation of Dallas,10.0:10. Access to quality education,9.0:09. Access to living-wage jobs,"5.0:05. Access to affordable, quality housing",11.0:11. Ease of car travel in Dallas,3.0:03. Opportunities to attend arts and cultural events,4.0:04. Air quality,16.0:16. Ease of walking in Dallas,2.0:02. Openness and acceptance of the community towards people of diverse backgrounds
Q3[02][F],,Which THREE of the quality of life characteristics listed above do you think should be the City's top priorities,2nd:,nan:nan,10.0:10. Access to quality education,17.0:17. Overall image/reputation of Dallas,3.0:03. Opportunities to attend arts and cultural events,"7.0:07. Access to affordable, quality health care","5.0:05. Access to affordable, quality housing",11.0:11. Ease of car travel in Dallas,4.0:04. Air quality,9.0:09. Access to living-wage jobs,1.0:01. Sense of community
Q3[03][F],,Which THREE of the quality of life characteristics listed above do you think should be the City's top priorities,3rd:,nan:nan,1.0:01. Sense of community,16.0:16. Ease of walking in Dallas,2.0:02. Openness and acceptance of the community towards people of diverse backgrounds,13.0:13. Ease of rail travel in Dallas,9.0:09. Access to living-wage jobs,3.0:03. Opportunities to attend arts and cultural events,"5.0:05. Access to affordable, quality housing","7.0:07. Access to affordable, quality health care",15.0:15. Ease of bicycle travel in Dallas
Q4[01][F],,Please rate the speed of growth in the following categories in city_name over the past two years,1. Population growth,nan:nan,3.0:About Right,2.0:Too Fast,1.0:Much too Fast,9.0:Don't Know,4.0:Too Slow,5.0:Much too Slow,,,
Q4[02][F],,Please rate the speed of growth in the following categories in city_name over the past two years,"2. Retail growth (stores, restaurants, etc.)",nan:nan,3.0:About Right,5.0:Much too Slow,4.0:Too Slow,2.0:Too Fast,9.0:Don't Know,1.0:Much too Fast,,,
Q4[03][F],,Please rate the speed of growth in the following categories in city_name over the past two years,3. Job growth,nan:nan,3.0:About Right,4.0:Too Slow,9.0:Don't Know,5.0:Much too Slow,2.0:Too Fast,1.0:Much too Fast,,,
Q5[01][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,01. Crime,nan:nan,2.0:Moderate Problem,3.0:Minor Problem,1.0:Major Problem,9.0:Don't Know,4.0:Not a Problem,,,,
Q5[02][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,02. Drugs,nan:nan,4.0:Not a Problem,2.0:Moderate Problem,3.0:Minor Problem,1.0:Major Problem,9.0:Don't Know,,,,
Q5[03][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,03. High weeds,nan:nan,4.0:Not a Problem,1.0:Major Problem,9.0:Don't Know,2.0:Moderate Problem,3.0:Minor Problem,,,,
Q5[04][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,04. Noise,nan:nan,2.0:Moderate Problem,4.0:Not a Problem,1.0:Major Problem,9.0:Don't Know,3.0:Minor Problem,,,,
Q5[05][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,05. Blighted buildings,nan:nan,3.0:Minor Problem,2.0:Moderate Problem,9.0:Don't Know,4.0:Not a Problem,1.0:Major Problem,,,,
Q5[06][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,06. Homelessness,nan:nan,1.0:Major Problem,2.0:Moderate Problem,3.0:Minor Problem,9.0:Don't Know,4.0:Not a Problem,,,,
Q5[07][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,"07. Environmental hazard(s), air quality and toxic waste",nan:nan,2.0:Moderate Problem,4.0:Not a Problem,9.0:Don't Know,3.0:Minor Problem,1.0:Major Problem,,,,
Q5[08][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,08. Loose dogs and unrestrained pets,nan:nan,3.0:Minor Problem,4.0:Not a Problem,2.0:Moderate Problem,1.0:Major Problem,9.0:Don't Know,,,,
Q5[09][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,09. Litter,nan:nan,3.0:Minor Problem,2.0:Moderate Problem,1.0:Major Problem,4.0:Not a Problem,9.0:Don't Know,,,,
Q5[10][F],,Please indicate the extent to which you think each of the following are an issue in the City of city_name by circling the corresponding number below,10. Infrastructure/streets,nan:nan,2.0:Moderate Problem,1.0:Major Problem,3.0:Minor Problem,9.0:Don't Know,4.0:Not a Problem,,,,
