cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
1,,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],Q8[02][F].Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20. 311/Service request process (call to report problem),11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",01. Ambulance/emergency medical services,"19. Social services (community centers, child care programs, homeless programs, senior programs)",06. Fire services,17. Dallas Love Field Airport,"07. Solid waste services (e.g., garbage and recycling collection)",10. Park and recreation system
2,,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],Q2[01][F].Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],01. Overall quality of police service,03. Overall efforts by the City to ensure the community is prepared for emergencies,02. Overall quality of fire services,06. Overall flow of traffic and congestion management on streets in the City,07. Overall quality of stormwater management in the City,"04. Overall maintenance of City streets, sidewalks, and infrastructure",12. Wastewater/sanitary sewer services,05. Overall effectiveness of communication by the City,08. Overall quality of parks and recreation programs and facilities,10. Overall enforcement of local codes and ordinances
3,,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],Q2[02][F].Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],04. Overall enforcement of City codes and ordinances,02. Overall quality of City parks and facilities,03. Overall maintenance of City streets,11. Overall quality of City's environmental sustainability programs,07. Overall traffic flow/congestion management on major streets in the City,08. Overall traffic flow/congestion management on neighborhood streets in the city,"01. Overall quality of police, fire, and emergency medical services",10. Overall quality of recreation programs,06. Overall effectiveness of City communication with the public,05. Overall quality of customer service you receive from City employees
4,,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]","Q26[06][M].Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",No,Yes,,,,,,,,
5,,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],Q26[03][M].Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],No,Yes,,,,,,,,
6,,Which of the following best describes your race/ethnicity? [Other],Q26[99][M].Which of the following best describes your race/ethnicity? [Other],No,Yes,,,,,,,,
7,,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]","Q15[11][M].Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
8,,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]","Q10[15][M].Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [15. Other]",Yes,No,,,,,,,,
9,,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],Q19[14][M].Please CHECK ALL of the following information sources you have used to get information about the City of Johnston during the past year. [Other],No,Yes,,,,,,,,
10,,Please CHECK ALL of the following that you have done in [city name] over the past year. [Visited City government offices],Q28[04][M].Please CHECK ALL of the following that you have done in Johnston over the past year. [Visited City government offices],Yes,No,,,,,,,,
11,,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],Q21[10][M].Please CHECK ALL of the following information sources you are currently using in daily life. [Other],No,Yes,,,,,,,,
12,,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]","Q20a[10][M].Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",Yes,No,,,,,,,,
