question_group,generic_question,option_1,option_2,option_3,option_4,option_5
Parks and Recreation,Which three of the following types of parks would you like to see more of in our city?,Parks for children,Parks with walking trails,Parks with sports facilities,Other,
Code Enforcement,How would you rate the effectiveness of our code enforcement efforts in maintaining commercial property in your neighborhood?,Very effective,Somewhat effective,Not very effective,Not at all effective,
Recycling,How would you rate the overall quality of our curbside recycling program?,Excellent,Good,Fair,Poor,
Transportation,How safe do you feel when walking to work or school in our city?,Very safe,Somewhat safe,Not very safe,Not at all safe,
Customer Service,How would you rate the quality of customer service provided by City employees?,Excellent,Good,Fair,Poor,
Economic Development,Which two of the following benefits of economic development are most important to you?,Job creation,Increased property values,,,
Transportation Network,How would you rate the safety and accessibility of our transportation network?,Excellent,Good,Fair,Poor,
Public Safety,How would you rate the effectiveness of our public safety services?,Very effective,Somewhat effective,Not very effective,Not at all effective,
Community Involvement,How likely are you to get involved in local activities and events?,Very likely,Somewhat likely,Not very likely,Not at all likely,
Quality of Life,How would you rate the overall quality of life in our city?,Excellent,Good,Fair,Poor,
City Facilities,How would you rate the condition and maintenance of our city facilities?,Excellent,Good,Fair,Poor,
Communication,How would you rate the quality of our communication efforts?,Excellent,Good,Fair,Poor,
Leadership,How would you rate the quality of leadership provided by our elected officials?,Excellent,Good,Fair,Poor,
Demographics,What is your age?,18-24,25-34,35-44,45-54,55-64
Demographics,How many persons in your household are employed?,1-2,3-4,5 or more,,
Demographics,What is your gender?,Male,Female,,,
Demographics,What is your race/ethnicity?,Hispanic,American Indian or Alaska Native,,,
Transportation,Would you support increasing housing in our city to meet the needs of future generations?,Yes,No,,,
Transportation,"Would you support providing safe walking options to and from home, work, school, parks, grocery stores, etc.?",Yes,No,,,
Budgeting,"If you had a budget of $100 for services provided by our city, how would you allocate the funds?","Parks, Golf, and Open Spaces",Public Safety,Economic Development,,
Income,What is your total annual household income?,"Less than $25,000","$25,000-$49,999","$50,000-$74,999","$75,000 or more",
Customer Service,How would you rate the performance of City employees who helped you the last time you contacted our city?,Excellent,Good,Fair,Poor,
Recommendation,How likely are you to recommend our city as a place to live?,Very likely,Somewhat likely,Not very likely,Not at all likely,
Ownership,Do you own or rent your current residence?,Yes,No,,,
Employment,How many persons in your household are employed?,1-2,3-4,5 or more,,
Code Enforcement,Have you noticed any issues with code enforcement efforts in your neighborhood?,Yes,No,,,
Recycling,Have you noticed any issues with our curbside recycling program?,Yes,No,,,
Trash Service,Have you noticed any issues with our trash service?,Yes,No,,,
Other,Please define 'Other'.,Anything else not listed,,,,
Other,What is 'Other'?,A specific issue or concern,,,,
Other,How does 'Other' relate to our city?,A specific issue or concern related to our city,,,,
Other,Have you noticed any issues with our city's budget and spending?,Yes,No,,,
Other,How does 'Other' relate to our city's budget and spending?,A specific issue or concern related to our city's budget and spending,,,,
