Group,Group Notes,Question,Question Type,Question Notes,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,X-axis Option 1,X-axis Option 2,X-axis Option 3,X-axis Option 4,X-axis Option 5,X-axis Option 6,Y-axis Option 1,Y-axis Option 2,Y-axis Option 3,Y-axis Option 4,Y-axis Option 5,Y-axis Option 6,Y-axis Option 7,Y-axis Option 8,Y-axis Option 9,Y-axis Option 10,Y-axis Option 11,Y-axis Option 12,Z-axis Option 1,Z-axis Option 2,Z-axis Option 3,Z-axis Option 4,Z-axis Option 5,Z-axis Option 6,Z-axis Option 7,Z-axis Option 8,Z-axis Option 9,Z-axis Option 10,Z-axis Option 11,Z-axis Option 12
Customer Satisfaction,,Please rate your overall satisfaction with these perceptions and characteristics of the Village of Gurnee on a scale of 5 to 1," where 5 means ""Very Satisfied"" and 1 means ""Very Dissatisfied"" with regard to each of the following.",Array by column,,1. Feeling safe in Gurnee  ,2. Feeling of safety in your own neighborhood  ,3. Trust in the Village of Gurnee employees and leadership  ,4. Gurnee's ability to communicate information  ,5. Gurnee's commitment to transparency  ,6. Accessibility of information  ,7. Gurnee's commitment to diversity  ,8. Customer service of Village of Gurnee employees,Very Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,Feeling safe in Gurnee,Feeling of safety in your own neighborhood,Trust in the Village of Gurnee employees and leadership,Gurnee's ability to communicate information,Gurnee's commitment to transparency,Accessibility of information,Gurnee's commitment to diversity,Customer service of Village of Gurnee employees,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate the Village of Gurnee on a scale of 5 to 1," where 5 means ""Excellent"" and 1 means ""Poor"" with regard to each of the following.",Array by column,,"Excellent	","Good	","Neutral	","Below Average	",Poor,Don't Know,As a place to live,As a place to raise a family,As a place to work,As a place where you would buy your next home,As a place to retire,As a place to open a business,As a place to educate children,As a place where residents support each other,Overall value that you receive from Village Services,Overall image of the Village,Overall quality of life in the Village,Overall appearance of the Village,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate your satisfaction with each of the following items using a scale of 5 to 1," where 5 means ""Very Satisfied"" and 1 means ""Very Dissatisfied.""",Array by column,,Very Satisfied,Satisfied,"Neutral	","Dissatisfied	","Very Dissatisfied	",Don't Know,Overall quality of local police protection,The visibility of police in neighborhoods,The visibility of police in retail areas,The Village's efforts to prevent crime,Enforcement of local traffic laws,How quickly police respond to emergencies,Drug and criminal enforcement,Quality of animal control,Overall quality of local fire protection,How quickly fire protection responds to emergencies,Overall quality of emergency medical services,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Which THREE of the Village services listed in Question 3 do you think are MOST IMPORTANT for the Village to provide? [Write in your answers below using the numbers from the list in Question 3," or circle ""NONE.""]",Multiple choice with comments,,1st:,2nd:,3rd:,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate your satisfaction with each of the following on a scale of 5 to 1," where 5 means ""Very Satisfied"" and 1 means ""Very Dissatisfied.""",Array by column,,"Very Satisfied	","Satisfied	","Neutral	","Dissatisfied	","Very Dissatisfied	",Don't Know,Enforcing the cleanup of litter and debris on private property,Enforcing the mowing and trimming of private property,Enforcing the exterior maintenance of residential property,Enforcing the maintenance of commercial property,Enforcing codes designed to address public safety and nuisance issues,The Village's administrative adjudication hearings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Where do you currently get news and information about Village programs, services and events? [Check all that apply.],List (Radio),,Automated phone calls,Social media,Weekly e-News,Village mailed newsletter and direct mail,Text message,Email,Village website,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,From which TWO sources of information listed in Question 6 would you prefer to get information from the Village? [Write in your answers below using the numbers from the list in Question 6," or circle ""NONE.""]",List (Radio),,1st:,2nd:,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate the ease of use of the following.,Array by column,,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,Using the Village's Website,Paying Gurnee bills and fees online,Submitting permits and applications online,Submitting a service request via the Village's online portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate your satisfaction with each of the following.,Array by column,,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,Maintenance of Village sidewalks,Maintenance of Village streets,Efficiency of ditch and/or storm sewer drainage (where available),Mowing along Village-owned streets and public areas,Maintenance of parkway trees,Adequacy of street lighting in residential areas,Maintenance of street signs,Snow plowing of Village streets (not State or County roads),,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction,,Please rate your satisfaction with each of the following.,Array by column,,"Very Easy	","Easy	","Neutral	","Difficult	","Very Difficult	",Don't Know,Reliability of water service,Water pressure,Quality of drinking water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
