question_group,generic_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20. 311/Service request process (call to report problem),11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",01. Ambulance/emergency medical services,"19. Social services (community centers, child care programs, homeless programs, senior programs)",06. Fire services,17. Dallas Love Field Airport,"07. Solid waste services (e.g., garbage and recycling collection)",10. Park and recreation system
,Which THREE of the City services listed in Question 1 do you think are most important for the City to emphasize over the next TWO years? [1st:],01. Overall quality of police service,03. Overall efforts by the City to ensure the community is prepared for emergencies,02. Overall quality of fire services,06. Overall flow of traffic and congestion management on streets in the City,07. Overall quality of stormwater management in the City,"04. Overall maintenance of City streets, sidewalks, and infrastructure",12. Wastewater/sanitary sewer services,05. Overall effectiveness of communication by the City,08. Overall quality of parks and recreation programs and facilities,10. Overall enforcement of local codes and ordinances
,Which THREE of the items listed in Question 1 do you think should receive the MOST EMPHASIS from City leaders over the next TWO years? [2nd:],04. Overall enforcement of City codes and ordinances,02. Overall quality of City parks and facilities,03. Overall maintenance of City streets,11. Overall quality of City's environmental sustainability programs,07. Overall traffic flow/congestion management on major streets in the City,08. Overall traffic flow/congestion management on neighborhood streets in the city,"01. Overall quality of police, fire, and emergency medical services",10. Overall quality of recreation programs,06. Overall effectiveness of City communication with the public,05. Overall quality of customer service you receive from City employees
,"Which of the following best describes your race/ethnicity? [Hispanic, Spanish, or Latino/a/x]",No,Yes,,,,,,,,
,Which of the following best describes your race/ethnicity? [American Indian or Alaska Native],No,Yes,,,,,,,,
,Which of the following best describes your race/ethnicity? [Other],No,Yes,,,,,,,,
,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
,"Please CHECK ALL of the sources of information you use to get information about City services, news, and events? [. Other]",Yes,No,,,,,,,,
,Please CHECK ALL of the following information sources you have used to get information about the City of [city name] during the past year. [Other],No,Yes,,,,,,,,
,Please CHECK ALL of the following that you have done in [city name] over the past year. [Visited City government offices],Yes,No,,,,,,,,
,Please CHECK ALL of the following information sources you are currently using in daily life. [Other],No,Yes,,,,,,,,
,"Thinking of your own life, please check if any of the following obstacles or barriers make it difficult for you to be involved with your community. [None]",Yes,No,,,,,,,,
perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],Dissatisfied,Very Satisfied,Neutral,Satisfied,Very Dissatisfied,Don't Know,,,,
,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],Neutral,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,Please rate your satisfaction with each of the following water services. [. Clarity of your tap water],Satisfied,Very Satisfied,Neutral,Dissatisfied,Don't Know,Very Dissatisfied,,,,
,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
,Please rate your satisfaction with each of the park services listed. [. The number of City parks],Neutral,Satisfied,Dissatisfied,Very Satisfied,Don't Know,Very Dissatisfied,,,,
,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,"Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of police, fire, and emergency medical services]",Satisfied,Very Satisfied,Don't Know,Neutral,Dissatisfied,Very Dissatisfied,,,,
maintenance,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
,"Please define ""Other.""",Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
,"Counting yourself, how many people in your household are… [Ages 65-74:]",2.0,0.0,1.0,74.0,67.0,,,,,
,What is your age?,32.0,33.0,52.0,37.0,27.0,39.0,31.0,62.0,42.0,65.0
,"Including yourself, how many persons in your household are in each of the following age groups? [65-74 years:]",1.0,2.0,0.0,26.0,,,,,,
,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],No,Yes,,,,,,,,
,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",See about the same,See fewer,See more,Don't know,,,,,,
,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],Very Dissatisfied,Satisfied,Dissatisfied,Very Satisfied,Neutral,Don't Know,,,,
,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],Safe,Very Safe,Neutral,Don't Know,Unsafe,Very Unsafe,,,,
,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. City facilities],About the Same,Better,Worse,Much Worse,Don't Know,Much Better,,,,
parks recreation,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],Good,Fair,Excellent,Poor,Don't Know,,,,,
major categories city services,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Customer service provided by city employees],Yes,No,,,,,,,,
,"For the items you selected, how would you rate the overall performance? [. Sewer services (e.g., sanitary sewer/wastewater)]",Don't Know,Fair,Good,Excellent,Poor,,,,,
,Please rate the City of [city name] with regard to the following. [. As a place to live],Good,Excellent,Neutral,Poor,Below Average,,,,,
,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of air travel in [city name]],Excellent,Fair,Good,Don't Know,Poor,,,,,
economic development,Economic Development. Which TWO of the following benefits of economic development are MOST IMPORTANT to you? [Other],No,Yes,,,,,,,,
,How do you receive information about the city's budget and how money is spent? [Other],No,Yes,,,,,,,,
,Please CHECK ALL of the following items that would make you try DART or cause you to ride more often. [More convenient routes],No,Yes,,,,,,,,
,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],Satisfied,Very Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],Satisfied,Don't Know,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,,,,
,What is your gender?,Male,Female,Self-identified,,,,,,,
,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],Disagree,Agree,Strongly Disagree,Strongly Agree,Don't Know,,,,,
city aware shortage housing nationwide locally,The City is aware of a shortage of housing nationwide and locally. Different housing types not already offered in [city name] will help meet the needs of future generations in our community. Do you support the City facilitating more housing in [city name] through... [Fourplexes],Yes,No,,,,,,,,
meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",Yes,No,,,,,,,,
,"If you had a budget of $100 for services provided by the City of Riveria Beach, how would you allocate the funds among these categories? [Please be sure your total adds up to $100.] [Parks, Golf, and Open Spaces (including park, outdoor athletic fields and courts, trails, golf, open space, and trails.)]",30.0,50.0,75.0,20.0,25.0,45.0,10.0,100.0,35.0,0.0
,What is your total annual household income?,"$100,000 or more","$50,000 - $74,999","$25,000 - $49,999","$75,000 - $99,999","Less than $24,999",,,,,
,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Courtesy],Excellent,Good,Fair,Poor,Don't know,,,,,
,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],09,10 (Very Likely),08,06,05,01 (Not at All Likely),07,Don't know,02,04
,Do you own or rent your current residence?,Own,Rent,,,,,,,,
,How many persons in your household are employed in each of the following areas? [Within the City limits of [city name]:],1.0,2.0,0.0,3.0,4.0,,,,,
,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of commercial property in your neighborhood],Very Dissatisfied,Don't Know,Neutral,Satisfied,Very Satisfied,Dissatisfied,,,,
,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,Please rate your satisfaction with each of the following items concerning your recycling service. [. Overall quality of the City's curbside recycling program],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
