question_number,question_head_prompt,question_body_prompt,question_tail_prompt,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
Q1[01][F],perceptions city,please rate following items circling corresponding number,01 [city name] place live,Good,Fair,Excellent,Poor,Don't Know,,,,,
Q1[02][F],perceptions city,please rate following items circling corresponding number,02 neighborhood place live,Good,Excellent,Fair,Poor,Don't Know,,,,,
Q1[03][F],perceptions city,please rate following items circling corresponding number,03 [city name] place raise children,Good,Excellent,Don't Know,Poor,Fair,,,,,
Q1[04][F],perceptions city,please rate following items circling corresponding number,04 [city name] place work,Excellent,Good,Poor,Fair,Don't Know,,,,,
Q1[05][F],perceptions city,please rate following items circling corresponding number,05 [city name] place retire,Fair,Poor,Excellent,Don't Know,Good,,,,,
Q1[06][F],perceptions city,please rate following items circling corresponding number,06 [city name] place business,Excellent,Good,Fair,Don't Know,Poor,,,,,
Q1[07][F],perceptions city,please rate following items circling corresponding number,07 [city name] place feel welcome,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q1[08][F],perceptions city,please rate following items circling corresponding number,08 quality economic development [city name],Good,Fair,Poor,Excellent,Don't Know,,,,,
Q1[09][F],perceptions city,please rate following items circling corresponding number,09 overall quality life [city name],Fair,Good,Poor,Excellent,Don't Know,,,,,
Q1[10][F],perceptions city,please rate following items circling corresponding number,10 overall value receive city property tax dollars fees,Good,Poor,Fair,Excellent,Don't Know,,,,,
Q2[01][F],none,please rate following characteristics relate [city name] whole,01 sense community,Fair,Excellent,Good,Poor,Don't Know,,,,,
Q2[02][F],none,please rate following characteristics relate [city name] whole,02 openness acceptance community towards people diverse backgrounds,Fair,Excellent,Good,Poor,Don't Know,,,,,
Q2[03][F],none,please rate following characteristics relate [city name] whole,03 opportunities attend arts cultural events,Good,Excellent,Poor,Fair,Don't Know,,,,,
Q2[04][F],none,please rate following characteristics relate [city name] whole,04 air quality,Fair,Good,Excellent,Poor,Don't Know,,,,,
Q2[05][F],none,please rate following characteristics relate [city name] whole,05 access affordable quality housing,Good,Poor,Fair,Don't Know,Excellent,,,,,
Q2[06][F],none,please rate following characteristics relate [city name] whole,06 access affordable quality child care,Fair,Poor,Don't Know,Good,Excellent,,,,,
Q2[07][F],none,please rate following characteristics relate [city name] whole,07 access affordable quality health care,Excellent,Good,Fair,Poor,Don't Know,,,,,
Q2[08][F],none,please rate following characteristics relate [city name] whole,08 access affordable quality food,Excellent,Good,Poor,Fair,Don't Know,,,,,
Q2[09][F],none,please rate following characteristics relate [city name] whole,09 access livingwage jobs,Good,Poor,Fair,Don't Know,Excellent,,,,,
Q2[10][F],none,please rate following characteristics relate [city name] whole,10 access quality education,Fair,Poor,Excellent,Good,Don't Know,,,,,
Q2[11][F],none,please rate following characteristics relate [city name] whole,11 ease car travel [city name],Excellent,Poor,Fair,Good,Don't Know,,,,,
Q2[12][F],none,please rate following characteristics relate [city name] whole,12 ease bus travel [city name],Don't Know,Fair,Poor,Good,Excellent,,,,,
Q2[13][F],none,please rate following characteristics relate [city name] whole,13 ease rail travel [city name],Poor,Don't Know,Fair,Good,Excellent,,,,,
Q2[14][F],none,please rate following characteristics relate [city name] whole,14 ease air travel [city name],Excellent,Fair,Good,Don't Know,Poor,,,,,
Q2[15][F],none,please rate following characteristics relate [city name] whole,15 ease bicycle travel [city name],Poor,Excellent,Good,Don't Know,Fair,,,,,
Q2[16][F],none,please rate following characteristics relate [city name] whole,16 ease walking [city name],Poor,Fair,Good,Don't Know,Excellent,,,,,
Q2[17][F],none,please rate following characteristics relate [city name] whole,17 overall imagereputation [city name],Good,Fair,Poor,Excellent,Don't Know,,,,,
Q3[01][F],none,three quality life characteristics listed think citys top priorities,1st,17. Overall image/reputation of Dallas,10. Access to quality education,09. Access to living-wage jobs,"05. Access to affordable, quality housing",11. Ease of car travel in Dallas,03. Opportunities to attend arts and cultural events,04. Air quality,16. Ease of walking in Dallas,02. Openness and acceptance of the community towards people of diverse backgrounds,"07. Access to affordable, quality health care"
Q3[02][F],none,three quality life characteristics listed think citys top priorities,2nd,10. Access to quality education,17. Overall image/reputation of Dallas,03. Opportunities to attend arts and cultural events,"07. Access to affordable, quality health care","05. Access to affordable, quality housing",11. Ease of car travel in Dallas,04. Air quality,09. Access to living-wage jobs,01. Sense of community,15. Ease of bicycle travel in Dallas
Q3[03][F],none,three quality life characteristics listed think citys top priorities,3rd,01. Sense of community,16. Ease of walking in Dallas,02. Openness and acceptance of the community towards people of diverse backgrounds,13. Ease of rail travel in Dallas,09. Access to living-wage jobs,03. Opportunities to attend arts and cultural events,"05. Access to affordable, quality housing","07. Access to affordable, quality health care",15. Ease of bicycle travel in Dallas,"06. Access to affordable, quality child care"
Q4[01][F],none,please rate speed growth following categories [city name] past two years,1 population growth,About Right,Too Fast,Much too Fast,Don't Know,Too Slow,Much too Slow,,,,
Q4[02][F],none,please rate speed growth following categories [city name] past two years,2 retail growth stores restaurants etc,About Right,Much too Slow,Too Slow,Too Fast,Don't Know,Much too Fast,,,,
Q4[03][F],none,please rate speed growth following categories [city name] past two years,3 job growth,About Right,Too Slow,Don't Know,Much too Slow,Too Fast,Much too Fast,,,,
Q5[01][F],none,please indicate extent think following issue city [city name] circling corresponding number,01 crime,Moderate Problem,Minor Problem,Major Problem,Don't Know,Not a Problem,,,,,
Q5[02][F],none,please indicate extent think following issue city [city name] circling corresponding number,02 drugs,Not a Problem,Moderate Problem,Minor Problem,Major Problem,Don't Know,,,,,
Q5[03][F],none,please indicate extent think following issue city [city name] circling corresponding number,03 high weeds,Not a Problem,Major Problem,Don't Know,Moderate Problem,Minor Problem,,,,,
Q5[04][F],none,please indicate extent think following issue city [city name] circling corresponding number,04 noise,Moderate Problem,Not a Problem,Major Problem,Don't Know,Minor Problem,,,,,
