Question_Group,Historical_Question,Generic_Question,Similarity_Score,Confidence_Level,Rank
,please rate following items circling corresponding number 01 [city name] place live,Please rate the City of [city name] with regard to the following. [. As a place to live],0.48766405114424904,Medium,1
,please rate following items circling corresponding number 01 [city name] place live,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],0.4651071468290114,Medium,2
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],0.2439439036243261,Low,3
,please rate following items circling corresponding number 01 [city name] place live,Please indicate how likely you would be to recommend your community. [. Recommend the community as a place to live],0.209570613843884,Low,4
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the park services listed. [. The number of City parks],0.20632721261943637,Low,5
,please rate following items circling corresponding number 01 [city name] place live,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",0.18563606075684838,Low,6
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the park services listed. [. Number of walking and biking trails in the City],0.14592451347790844,Low,7
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following communication items. [. The quality of the City's website],0.12478234122544635,Low,8
perceptions community,please rate following items circling corresponding number 01 [city name] place live,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall quality of life in the City],0.1187011364940759,Low,9
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following maintenance items. [. Maintenance of major City streets],0.11413553761997283,Low,10
maintenance,please rate following items circling corresponding number 01 [city name] place live,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],0.10346547505173868,Low,11
,please rate following items circling corresponding number 01 [city name] place live,Please rate each of the following major categories of services provided by the City of [city name]. [. Overall quality of customer service you receive from City employees],0.08550403108144342,Low,12
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with each of the following items concerning city leadership. [. Overall quality of leadership provided by the City's elected officials],0.08241459183023897,Low,13
,please rate following items circling corresponding number 01 [city name] place live,Please rate your level of agreement with each of the following statements. [. The City of [city name] is a safe community],0.07804406884088735,Low,14
,please rate following items circling corresponding number 01 [city name] place live,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],0.07476422921722824,Low,15
