cluster,question_group,generic_question,original_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
1,,Please rate your satisfaction with the following public safety services provided by the City of [city name]. [. The visibility of police in retail areas],Q21[02][F].Please rate your satisfaction with the following public safety services provided by the City of Olathe. [02. The visibility of police in retail areas],Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,,,,
2,,"Including yourself, how many persons in your household are in each of the following age groups? [55-64 years:]","Q29[09][K].Including yourself, how many persons in your household are in each of the following age groups? [55-64 years:]",2.0,1.0,0.0,,,,,,,
3,,Which of the following best describes your race/ethnicity? [Prefer not to say],Q26[88][M].Which of the following best describes your race/ethnicity? [Prefer not to say],,,,,,,,,,
4,streets infrastructuremobility,Streets and Infrastructure/Mobility. Please rate the City's performance in the following areas. [. Maintenance and repair of streets in your neighborhood],Q17[02][F].Streets and Infrastructure/Mobility. Please rate the City's performance in the following areas. [02. Maintenance and repair of streets in your neighborhood],Excellent,Poor,Fair,Good,Don't know,,,,,
5,,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]","Q15[11][M].Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
6,,Please rate your overall satisfaction with major categories of services provided by the City of [city name]. [. Overall quality of city parks and recreation programs and facilities],Q1[02][F].Please rate your overall satisfaction with major categories of services provided by the City of Olathe. [02. Overall quality of city parks and recreation programs and facilities],Satisfied,Very Satisfied,Don't Know,Neutral,Dissatisfied,Very Dissatisfied,,,,
7,,Please rate your level of agreement with the following statements. [. I am pleased with the overall direction that the City of [city name] is taking],Q21[01][F].Please rate your level of agreement with the following statements. [1. I am pleased with the overall direction that the City of Dallas is taking],Agree,Neutral,Disagree,Strongly Disagree,Don't Know,Strongly Agree,,,,
8,,How many years have you lived in [city name]?,Q22[N].How many years have you lived in Dallas?,14.0,3.0,20.0,30.0,27.0,15.0,31.0,24.0,40.0,6.0
9,,Why were you dissatisfied?,Q7a[T].Why were you dissatisfied?,I believe the charge for water and storm sewer taxes are excessive. ,"People should not be charged such high prices for water, and this applies to JCW as well.  Shame on you. ","Water Pressure, I am sure this is a personal preference. But honestly feel the pressure should be around 55-60 psi.
I haven't checked mine in sometime but would guess on a good day it is only around 40-45 psi",Water is very expensive.  At least the city discontinued required back flow valve testing every year.,Does not taste okay unless I filter it,Too many taxes and fees added to basic water cost. ,Could always save money. ,"If there are in fact quality issues with the water, I’m not aware of them",it costs a fortune between water and sewer,Cost is too high
10,city maintenance,City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [. Maintenance of City streets],Q15[01][F].City Maintenance. Please rate your satisfaction with each of the following city maintenance items. [01. Maintenance of City streets],Dissatisfied,Satisfied,Very Satisfied,Neutral,Very Dissatisfied,Don't Know,,,,
11,,Please rate [city name] with regard to each of the following. [. As a place to work],Q19[03][F].Please rate Olathe with regard to each of the following. [3. As a place to work],Good,Excellent,Don't Know,Below Average,Neutral,Poor,,,,
12,,Which of the following best describes your race/ethnicity? [Black or African American],Q26[02][M].Which of the following best describes your race/ethnicity? [Black or African American],No,Yes,,,,,,,,
13,,Please rate the speed of growth in the following categories in [city name] over the past two years. [. Job growth],Q4[03][F].Please rate the speed of growth in the following categories in Dallas over the past two years. [3. Job growth],About Right,Too Slow,Don't Know,Much too Slow,Too Fast,Much too Fast,,,,
14,,"Please define ""Other.""","Q5x14[T].Please define ""Other.""",Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
15,,Please rate your satisfaction with each of the following Parks and Recreation items. [. The City's adult recreation programs],Q6[11][F].Please rate your satisfaction with each of the following Parks and Recreation items. [11. The City's adult recreation programs],Neutral,Don't Know,Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,,,,
16,major categories city services,"Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Social services (community centers, child care programs, homeless programs, senior programs)]","Q7[19][M].Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [19. Social services (community centers, child care programs, homeless programs, senior programs)]",No,Yes,,,,,,,,
17,,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],Q5[14][F].Please indicate the extent to which you think each of the following are an issue in the City of Dallas by circling the corresponding number below. [14. Other],Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
18,meet needs future generations city considering changes transportation infrastructure network better accommodate walking biking using public transit charging electric vehicles,"To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]","Q20[01][M].To meet the needs of future generations, the City is considering changes to the transportation infrastructure and network to better accommodate walking, biking, using public transit and charging electric vehicles. Do you support the City's transportation network to better accommodate multimodal transportation by... [Providing safe walking options to and from home, work, school, parks, grocery stores, etc.]",Yes,No,,,,,,,,
19,maintenance,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],Q8[01][F].Maintenance. Please rate your satisfaction with the following services provided by the City of Riviera Beach. [01. Condition of major City streets],Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
20,parks recreation department,Parks and Recreation Department. Please rate your satisfaction with the following services provided by the City of [city name]. [. Safety in community parks and facilities],Q6[08][F].Parks and Recreation Department. Please rate your satisfaction with the following services provided by the City of Riviera Beach. [8. Safety in community parks and facilities],Neutral,Very Satisfied,Dissatisfied,Very Dissatisfied,Don't Know,Satisfied,,,,
21,,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],Q27[10][M].Please CHECK ALL of the following types of retail and restaurant options you would like to see in Johnston. [Other],No,Yes,,,,,,,,
22,major categories city services,Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [. Communication by the City],Q7[12][M].Major Categories of City Services. Please indicate whether you or any member of your household have used each of the following services in the past 12 months. [12. Communication by the City],Yes,No,,,,,,,,
23,city communications,City Communications. Please rate your satisfaction with each of the following. [. The online services offered on the City's website],Q20[04][F].City Communications. Please rate your satisfaction with each of the following. [4. The online services offered on the City's website],Neutral,Satisfied,Don't Know,Dissatisfied,Very Satisfied,Very Dissatisfied,,,,
24,,Please indicate how the City of [city name] compares to other cities in Des Moines metro areas in the following areas. [. Trails],Q22[09][F].Please indicate how the City of Johnston compares to other cities in Des Moines metro areas in the following areas. [9. Trails],Don't Know,Better,About the Same,Much Better,Worse,Much Worse,,,,
25,,Please rate your satisfaction with each of the services listed. [. Overall quality and maintenance of City parks],Q2[14][F].Please rate your satisfaction with each of the services listed. [14. Overall quality and maintenance of City parks],Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
26,,Please rate your satisfaction with each of the following parks and recreation items. [. Maintenance of city parks],Q15[01][F].Please rate your satisfaction with each of the following parks and recreation items. [01. Maintenance of city parks],Satisfied,Very Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
27,,Which THREE of the parks and recreation services listed in Question 6 do you think are most important for the City to emphasize over the next TWO years? [2nd:],Q7[02][F].Which THREE of the parks and recreation services listed in Question 6 do you think are most important for the City to emphasize over the next TWO years? [2nd:],8. Safety in community parks and facilities,5. Quality of walking and biking trails,3. Quality of facilities such as picnic shelters and playgrounds,6. Number of walking and biking trails,7. Quality of City sponsored special events,1. Maintenance of City parks and park facilities,2. Number of City parks and park facilities,4. Quality of outdoor athletic fields,,
28,,Please rate your satisfaction with each of the services listed. [. Overall quality of City water services],Q2[08][F].Please rate your satisfaction with each of the services listed. [08. Overall quality of City water services],Neutral,Satisfied,Very Satisfied,Very Dissatisfied,Don't Know,Dissatisfied,,,,
29,,Please rate your satisfaction with each of the following code enforcement items. [. Enforcing the maintenance of residential property in your neighborhood],Q8[03][F].Please rate your satisfaction with each of the following code enforcement items. [3. Enforcing the maintenance of residential property in your neighborhood],Neutral,Don't Know,Dissatisfied,Very Satisfied,Satisfied,Very Dissatisfied,,,,
30,,Please rate your satisfaction with each of the following transportation items. [. Ease of pedestrian travel in [city name]],Q10[04][F].Please rate your satisfaction with each of the following transportation items. [4. Ease of pedestrian travel in Olathe],Don't Know,Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,,,,
31,perceptions safety,Perceptions of Safety. Please indicate how safe you feel in the following situations. [. In [city name]' downtown area during the day],Q6[03][F].Perceptions of Safety. Please indicate how safe you feel in the following situations. [03. In Dallas' downtown area during the day],Safe,Neutral,Very Safe,Unsafe,Don't Know,Very Unsafe,,,,
32,,Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [. Knowledge],Q20a[01][F].Please rate the performance of the City employees who helped you the last time you contacted the City in the following areas. [1. Knowledge],Excellent,Good,Poor,Fair,Don't know,,,,,
