question_group,generic_question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10
please answer either yes following questions,"Please answer either ""Yes"" or ""No"" to each of the following questions. [. Are you able to get help from either family, friends, or neighbors in time of need?]",Yes,No,,,,,,,,
,Please rate your satisfaction with each of the following parks and recreation items. [. Number of city parks],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
,"Which of the following are your primary sources of information about City issues, services, and events?  [Other]",No,Yes,,,,,,,,
,Please rate your satisfaction with each of the following maintenance items. [. Overall maintenance of city streets],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
,Which of the following best describes your race/ethnicity? [Other],No,Yes,,,,,,,,
,"Please define ""Other.""",Affordable housing,The houseless community does not have access to the resources they need. Instead their belongings are trashed and they are pushed somewhere else without any permanent and helpful solutions.,Total lack of adequate public transportation,"Minor crime , code violations ","Poor infrastructure. Incompetent, dishonest, inefficient city services. Terrible city management at the mid and upper levels. Terrible respect for all our residents by city staff. ","Abusive and inequitable property code enforcement. 

Examples:

* WOOD CHIPS AND MULCH ARE NOT LITTER 

* Using an old dining room set for outside furniture should not be a code violation. 

* And I’m sure there are many more. Update the code. 

* Even the use of the term code enforcement is a problem. This is not a proactive stance.  

* Effective communication should be required education for all code enforcement officers. Even referring to them as officers is problematic. They should actually know their jobs.  Return calls should be required. And finally when a code enforcement officer knows part of the code is ridiculous and doesn’t want to / and sometimes doesn’t give the warning… maybe that code should be reconsidered,  removed or changed to be more appropriate and fair. ",Other concerns ,Walkability.,"Elimate Section 8 housing, eliminate short term rentals in neighborhoods, eliminate uninsured / paper tag drivers","Lack of safety, Lack of streets getting fixed, not enough street lights, people Littering in our areas "
,Please CHECK ALL of the following types of retail and restaurant options you would like to see in [city name]. [Other],No,Yes,,,,,,,,
,Please indicate the extent to which you think each of the following are an issue in the City of [city name] by circling the corresponding number below. [. Other],Don't Know,Major Problem,Moderate Problem,Not a Problem,Minor Problem,,,,,
,Which FOUR of the services listed above do you think should be the City's top priorities? [2nd:],"09. Maintenance of infrastructure (e.g., city streets and sidewalks)",20. 311/Service request process (call to report problem),11. Police services,"03. Neighborhood code enforcement (e.g., high weeds, litter, blight)",01. Ambulance/emergency medical services,"19. Social services (community centers, child care programs, homeless programs, senior programs)",06. Fire services,17. Dallas Love Field Airport,"07. Solid waste services (e.g., garbage and recycling collection)",10. Park and recreation system
perceptions community,Perceptions of the Community. Please rate your satisfaction with each of the following items that may influence your perception of the City of [city name]. [. Overall feeling of safety in the City],Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Don't Know,,,,
public safety,Public Safety. Please rate your satisfaction with each of the public safety services listed. [. How quickly police respond to emergencies],Neutral,Satisfied,Don't Know,Very Satisfied,Dissatisfied,Very Dissatisfied,,,,
please answer either yes following questions,"Please answer either ""Yes"" or ""No"" to each of the following questions. [. Have any of your household members visited downtown [city name] during the past year?]",Yes,No,,,,,,,,
maintenance,Maintenance. Please rate your satisfaction with the following services provided by the City of [city name]. [. Condition of major City streets],Neutral,Very Satisfied,Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
,"When you think about the number and variety of places to live, work and play in [city name], would you like to see more, about the same, or fewer of the following types of places in [city name]? [. Retail and shopping plazas]",See about the same,See fewer,See more,Don't know,,,,,,
parks recreation,Parks and Recreation. Please rate the City's performance in the following areas. [. Appearance/maintenance of parks],Good,Fair,Excellent,Poor,Don't Know,,,,,
,Please rate each of the following characteristics as they relate to [city name] as a whole. [. Ease of car travel in [city name]],Excellent,Poor,Fair,Good,Don't Know,,,,,
,Please rate your satisfaction with each of the following items concerning your trash service. [. City efforts to keep you informed about trash removal issues],Very Satisfied,Satisfied,Neutral,Don't Know,Dissatisfied,Very Dissatisfied,,,,
,Please rate how safe you feel in the following situations. [. In your neighborhood during the day],Safe,Very Safe,Neutral,Don't Know,Unsafe,Very Unsafe,,,,
,Please rate your satisfaction with each of the services listed. [. Overall quality and maintenance of City parks],Neutral,Satisfied,Very Satisfied,Dissatisfied,Don't Know,Very Dissatisfied,,,,
